pecha_text_id,id,text_id
KRtszmS6H8eMa1ZCO1ezg,e50b6869-168e-439e-8f6c-0bf917f57d84,9b60802a-8e3c-45c2-80ee-808e91f6366b
lj7ltzj7PhAiBeFaw7C5C,9d341398-fe9d-4a50-af68-bdf0a5c0a9c1,e52fe397-f9c9-4d69-a510-44c21ed21a2c
VfCRJkCFjTcycLCq76k5y,8ea76d88-e60a-4531-b2bf-92a746c868b2,426075f4-1881-4516-8227-cc43dce26dc1
seM9u27asKYlcROdhoVqt,e09e274c-d730-4d2e-a1e4-7803a1413844,fb7a674d-3130-443a-89e9-93f51b15bc9a
SPDT83tF9mNaSnTLWX2Xc,e38d31f9-339b-406f-8928-f309355de8ee,a89471b4-41f4-4600-a2b7-e678edd551cd
bo6kYKiqATONrWGmlIir4,b24afd6a-4d2f-47ea-987b-cf4013353911,03d569b4-f773-4494-8346-7e38f569426e
W88MN9yQI1MFEIQruU6JN,b7b6f697-df3b-4842-a946-8832fe909654,90a74970-5a78-4ed3-a234-7e338b8b96d9
e8QeqLtX3yciSiBrLUf8o,ca204b4a-a96f-4acc-b77b-b1af8dc047f8,9ea10a3c-98c5-4508-a631-d0d398690edc
5mvZBkPyfIIH1am6psgIn,2e347da6-df18-4d34-af76-a32f7e0cc8cc,0742b0f8-a9cd-4f86-952e-d8aff87a9add
jlXkyZetmZsf8D4pP9vEZ,0843db18-6777-40e7-bc42-db023804c0ac,aca02df4-c8d9-46db-8aa2-2b0fc173715d
1HXsu9wsTawAdQQDE9qyl,c1683d7e-4f62-41fb-a5db-3c820acf8bd6,69a82639-9290-4eac-80a1-147c653b35d4
VZ4abLAOLCqtIOTE6XfRP,e0ea6c93-3bb0-482f-8121-a84adefe5058,2afd27d6-b25e-4d0e-ac78-172c2f1fce12
HOaHQicH9xuUIU4WkHTT3,1622cb65-7a91-4976-a6eb-8a1e695753c5,35907da7-da6f-4f4a-9c40-79270169a1ca
4RrlOnI5x8w0YUAS8w2a1,faf894c0-dec6-4e84-9fe5-b2c1c0be7d40,37847f2a-cbe2-4b77-871f-ec0b1e23b6c6
NeNjiKgfJ1jWKODfmQ0xq,ce1013c3-c52f-4701-a3b7-73f1095b112e,6d58b29c-9e01-46f6-9591-24071016fc1f
vJLgYg0rKInLk89amlRpa,23cf9a45-dc3c-484b-a050-b1bed7a30299,2ec147de-5db2-4640-886b-a16f6d290ac2
JNtyFBIGpii12w9XImWt4,9433fb99-4a14-4bbe-97b0-f9e884c95713,82aa2476-ded2-4cbc-9521-000b60fd37c6
YKO9npvgKzK1Q64mkn1Bf,5d43595e-a994-4543-bce1-55939a93f09a,21e805a8-a6b2-4003-b054-43f50fa726ec
AXdRQIqxqy9lGTodwAlX5,c21be2ad-f057-44bb-bc91-16fb62f8d2e4,3c804c3a-18ac-4495-bbc0-2eccbf2d1607
RYSSb1gHAxSOdJg4Bfjy9,69b40b0c-eedc-4522-a134-5b7a78f5ccb5,c90730cc-1981-49bf-beac-d14180ba9199
